,x,y,u,cell_id,CoV,infected_DM_3,IoD,infected_DM_0,population,sd,var,infected_DM_2,infected_DM_1,level of impact,level of uncertainity,distance in miles
521,-2.294005,53.4024095,1.0,-802685727382235400,1.15470053837925,2,1.33333333333333,0,53,1.15470053837925,1.33333333333333,2,0,higher impacted area,highest uncertainity,0.9192755890886675
522,-2.294005,53.4024095,1.0,-802685727382235400,1.4142135623731,0,2.0,1,53,1.4142135623731,2.0,3,0,higher impacted area,highest uncertainity,0.9192755890886675
523,-2.292501,53.4024132,0.5,4661879482938188000,1.15470053837925,1,0.666666666666667,0,42,0.577350269189626,0.333333333333333,0,1,moderately impacted area,moderate uncertainity,0.8156755282825401
524,-2.292501,53.4024132,0.75,4661879482938188000,1.27656947700845,1,1.22222222222222,0,42,0.957427107756338,0.916666666666667,0,2,higher impacted area,highest uncertainity,0.8156755282825401
525,-2.2669322,53.4024732,0.5,-3948554289515852000,1.15470053837925,1,0.666666666666667,0,9,0.577350269189626,0.333333333333333,1,0,moderately impacted area,moderate uncertainity,0.9561716085537635
526,-2.2654282,53.4024765,0.25,-3151814229857274000,2.0,1,1.0,0,34,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.0598544532889456
527,-2.2654282,53.4024765,0.5,-3151814229857274000,1.15470053837925,0,0.666666666666667,1,34,0.577350269189626,0.333333333333333,1,0,moderately impacted area,moderate uncertainity,1.0598544532889456
528,-2.2654282,53.4024765,1.5,-3151814229857274000,0.666666666666667,3,0.666666666666667,1,34,1.0,1.0,1,1,higher impacted area,moderate uncertainity,1.0598544532889456
529,-2.2639241,53.4024799,0.75,5268470270843111000,1.27656947700845,0,1.22222222222222,2,58,0.957427107756338,0.916666666666667,1,0,higher impacted area,highest uncertainity,1.1635855445387038
530,-2.2639241,53.4024799,1.0,5268470270843111000,0.816496580927726,0,0.666666666666667,2,58,0.816496580927726,0.666666666666667,1,1,higher impacted area,moderate uncertainity,1.1635855445387038
531,-2.2624201,53.4024832,0.5,4271675165908857000,1.15470053837925,1,0.666666666666667,0,60,0.577350269189626,0.333333333333333,0,1,moderately impacted area,moderate uncertainity,1.267341643609709
532,-2.2624201,53.4024832,0.5,4271675165908857000,1.15470053837925,1,0.666666666666667,1,60,0.577350269189626,0.333333333333333,0,0,moderately impacted area,moderate uncertainity,1.267341643609709
533,-2.2624201,53.4024832,1.75,4271675165908857000,0.547101204432193,1,0.523809523809524,1,60,0.957427107756338,0.916666666666667,3,2,higher impacted area,least uncertainity,1.267341643609709
534,-2.2609161,53.4024865,0.25,-5933324581290599000,2.0,1,1.0,0,62,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.371122075796463
535,-2.2609161,53.4024865,0.25,-5933324581290599000,2.0,0,1.0,0,62,0.5,0.25,0,1,slightly impacted area,highest uncertainity,1.371122075796463
536,-2.2609161,53.4024865,1.5,-5933324581290599000,0.86066296582387,1,1.11111111111111,0,62,1.29099444873581,1.66666666666667,2,3,higher impacted area,highest uncertainity,1.371122075796463
537,-2.259412,53.4024898,0.25,375671310066805500,2.0,0,1.0,0,15,0.5,0.25,1,0,slightly impacted area,highest uncertainity,1.4749286074090655
538,-2.2548999,53.4024995,0.25,-455655368100846800,2.0,1,1.0,0,16,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.7864166068135794
539,-2.2548999,53.4024995,0.25,-455655368100846800,2.0,0,1.0,1,16,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.7864166068135794
540,-2.2533958,53.4025027,0.25,-527103763764514000,2.0,0,1.0,0,58,0.5,0.25,0,1,slightly impacted area,highest uncertainity,1.890270340452067
541,-2.2533958,53.4025027,0.25,-527103763764514000,2.0,0,1.0,1,58,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.890270340452067
542,-2.2518918,53.4025059,0.25,3307620106347011000,2.0,0,1.0,1,97,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.9941244528137467
543,-2.2488837,53.4025122,0.25,938262013306775300,2.0,0,1.0,0,38,0.5,0.25,0,1,slightly impacted area,highest uncertainity,2.201857509146636
544,-2.3195804,53.4032426,0.25,-4428232024906019000,2.0,0,1.0,0,68,0.5,0.25,0,1,slightly impacted area,highest uncertainity,2.6837409499403946
545,-2.3135641,53.4032586,0.25,5164614393203723000,2.0,0,1.0,0,9,0.5,0.25,1,0,slightly impacted area,highest uncertainity,2.268053653033676
546,-2.310556,53.4032665,0.25,-7570712527313477000,2.0,1,1.0,0,29,0.5,0.25,0,0,slightly impacted area,highest uncertainity,2.0602136326709672
547,-2.3060438,53.4032781,0.5,-2834035886856324000,1.15470053837925,1,0.666666666666667,1,66,0.577350269189626,0.333333333333333,0,0,moderately impacted area,moderate uncertainity,1.748450516758154
548,-2.3045397,53.403282,0.25,-5272357539649253000,2.0,0,1.0,0,94,0.5,0.25,0,1,slightly impacted area,highest uncertainity,1.6445272661450387
549,-2.3045397,53.403282,0.25,-5272357539649253000,2.0,0,1.0,1,94,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.6445272661450387
550,-2.3015316,53.4032896,0.25,-3656266937931119000,2.0,1,1.0,0,66,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.4366879826058085
551,-2.3015316,53.4032896,0.25,-3656266937931119000,2.0,0,1.0,1,66,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.4366879826058085
552,-2.3000275,53.4032934,0.5,-7785362805429070000,1.15470053837925,0,0.666666666666667,0,63,0.577350269189626,0.333333333333333,1,1,moderately impacted area,moderate uncertainity,1.3327650375912048
553,-2.2940112,53.4033084,2.5,-6578805832320372000,0.832666399786453,3,1.73333333333333,2,69,2.08166599946613,4.33333333333333,5,0,highest contaminated zone,highest uncertainity,0.917082092847688
554,-2.2940112,53.4033084,2.75,-6578805832320372000,0.457565723349742,3,0.575757575757576,4,69,1.25830573921179,1.58333333333333,1,3,highest contaminated zone,least uncertainity,0.917082092847688
555,-2.2925071,53.4033121,2.25,3365296333859783000,0.559246995205241,2,0.703703703703704,1,72,1.25830573921179,1.58333333333333,2,4,highest contaminated zone,moderate uncertainity,0.8131604735651413
556,-2.2925071,53.4033121,4.0,3365296333859783000,0.866025403784439,1,3.0,7,72,3.46410161513775,12.0,7,1,highest contaminated zone,very unlikely,0.8131604735651413
557,-2.2910031,53.4033158,0.75,3536414367127399000,1.27656947700845,0,1.22222222222222,1,8,0.957427107756338,0.916666666666667,2,0,higher impacted area,highest uncertainity,0.7092463807225985
558,-2.289499,53.4033194,1.25,-627997180899083500,1.51437555888007,1,2.86666666666667,4,17,1.89296944860009,3.58333333333333,0,0,higher impacted area,very unlikely,0.6053263939956315
